Figure_name	pyspi_name	Literature_Category	Directed	Feature_description	Module
Phase slope index; frequency domain	psi_multitaper_mean_fs-1_fmin-0_fmax-0-5	Spectral	Yes	Phase slope index that measures information flow based on complex-valued coherency; calculated in the frequency domain for full frequency range	1
Additive noise model	anm	Causal inference	Yes	Additive noise model that tests for directed nonlinear dependence of x --> y	2
Directed information; gaussian	di_gaussian	Information theory	Yes	Directed information which measures information flow from source time-series X to target time-series Y without any time-lags; uses Gaussian-distribution model	3
Transfer entropy	te_kraskov_NN-4_DCE_k-max-10_tau-max-4	Information theory	Yes	Transfer entropy which captures information transfer form source time-series X to target time-series Y using a Takens time-delay embedding; with a maximum embedding length of 10 and maximum time delay of 4	4
Phi star	phi_star_t-1_norm-0	Information theory	No	Integrated information proxy that measures the amount of loss of information due to the disconnection between the two time-series; not normalized by entropy	5
Spectral Granger causality	sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5	Spectral	Yes	Spectral Granger Causality -- which is the frequency domain equivalent to Granger causality; computed via spectral transfer matrix and noise covariance for the full frequency range using nonparametric approach	6
Phase lag index	pli_multitaper_max_fs-1_fmin-0_fmax-0-5	Spectral	Yes	Phase lag index which averages the sign of the per-taper phase difference as a measure of phase synchronization for full frequency range	7
Phase slope index; time-frequency domain	psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean	Spectral	Yes	Phase slope index that measures information flow based on complex-valued coherency; calculated in the time-frequency domain for the full frequency range	8
Barycenter dynamic time warping	bary_dtw_mean	Distance statistics	No	Barycenter aka univariate time-series that minimizes the sum of squared distances between the pair of time-series; aligned using expectation maximization; summarised by taking the barycenter mean	9
Dynamic time warping	dtw_constraint-itakura	Distance statistics	No	Minimum distance between potentially dilated time series through alignment using Itakura parallelogram global constraints	10
Power envelope correlation	pec	Miscellaneous	No	Power envelope correlation which measures the correlation between two amplitude envelopes of time-series x and y	11
Coherence magnitude	cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5	Spectral	No	Coherence magnitude which measures the linear association between two time-series in the frequency domain; taking the mean coherence for the full frequency range	12
Cointegration	coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10	Miscellaneous	No	Cointegration -- which measures whether the linear combination of the two time-series has a lower order; measured with the Augmented Engle-Granger (AEG) two-step test with the Akaike Information Criterion (AIC) and a constant and linear trend (ct)	13
Pearson correlation	cov_EmpiricalCovariance	Basic statistics	No	Pearson's correlation using maximum likelihood estimate for covariance matrix computation	14
